Customer Type,Material Type,Material,Brand,Level,Price
Residential,Bentley 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Bergen Polished 2cm,Dekton,QUARTZ,N/A,N/A
Residential,Berwyn 3cm Matte,Cambria,QUARTZ,N/A,N/A
Residential,Berwyn 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Bianco Assoluto,Granite,GRANITE,N/A,N/A
Residential,Bianco Bellisimo 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Bianco Catalina 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Bianco Drift 3cm Polished A 6131,Ceasarstone,QUARTZ,N/A,N/A
Residential,Bianco Frost (HD color name Silver Mist) 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Bianco Gioia 3cm Dual,Marble,MARBLE,N/A,N/A
Residential,Bianco Halcyon 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Bianco Primata (HD Silver Mist) 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Bianco Romano 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Black 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Black and White 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Black Pearl (Pearl Gray) 3cm Brushed,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Black Pearl 3cm Brushed,Granite,GRANITE,N/A,N/A
Residential,Black Pearl 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Black Pearl-Front Polished/Back Leather 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Black Quasar 3cm Polished,Zodiaq,QUARTZ,N/A,N/A
Residential,Blanc Concrete Polished 2cm,Dekton,QUARTZ,N/A,N/A
Residential,Blanca Arabescato 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Blanca Arebescato 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Blanco Matrix,SileStone,QUARTZ,N/A,N/A
Residential,Blanco Taupe,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Blaze Polished 2cm,Dekton,QUARTZ,N/A,N/A
Residential,Blizzard 2cm Polished A 2141,Ceasarstone,QUARTZ,N/A,N/A
Residential,Blizzard 3cm Polished A 2141,Ceasarstone,QUARTZ,N/A,N/A
Residential,Blue Carrara 3cm Polished,Zodiaq,QUARTZ,N/A,N/A
Residential,"Blue De Savoie 3/4"" Honed",Marble,MARBLE,N/A,N/A
Residential,Blue Dunes 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Blue Fantasy 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Blue Nile 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Blue Ridge 2cm Polished,Marble,MARBLE,N/A,N/A
Residential,Blue Sahara  12,SileStone,QUARTZ,N/A,N/A
Residential,Bohemian Gray 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Botticino Semiclassico 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Bourbon 3cm,LG,QUARTZ,N/A,N/A
Residential,BradFord 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Braemar 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Brass Blue 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Brazilian Black 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Brecken 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Bristol Blue 2cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Brittanicca 2cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Brittanicca 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Buckingham 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Burton Brown 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,Butterfly Gold 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Butterfly Green 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Buttermilk 2cm Polished A 4220,Ceasarstone,QUARTZ,N/A,N/A
Residential,Calacatta Antartica,Aspen,QUARTZ,N/A,N/A
Residential,Calacatta Arabescatto 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Calacatta Botanica  3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Calacatta Botanica 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Calacatta Classic 2cm,Aspen,QUARTZ,N/A,N/A
Residential,Calacatta Gold 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Calacatta Gold Extra 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Calacatta- Honed 1.2cm,Aspen,QUARTZ,N/A,N/A
Residential,Calacatta Namibia 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Calacatta Nueva 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Calacatta Nuvo 2cm Polished A 5131,Ceasarstone,QUARTZ,N/A,N/A
Residential,Calacatta Nuvo. 2cm Polished A 5131,Ceasarstone,QUARTZ,N/A,N/A
Residential,Calacatta Optima 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Calacatta Pearl 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Calacatta Tucci 2cm Polished,Marble,MARBLE,N/A,N/A
Residential,Calacatta Ultra 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Calacatta Venice 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Calcite Azul 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Caldera 3cm Polished A 6684,Ceasarstone,QUARTZ,N/A,N/A
Residential,Calico White Polished 3cm,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Calypso,SileStone,QUARTZ,N/A,N/A
Residential,Cameo is now Viatera Sol 3cm,LG,QUARTZ,N/A,N/A
Residential,Cameo Shore (=Venice Cream) 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Canadian Blue 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Canvas 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Capri Limestone,SileStone,QUARTZ,N/A,N/A
Residential,Caravelas 3cm Polished,Granite,GRANITE,N/A,N/A
